EIN,OrgID,OverallRtg,Tax_Year,Charity Name,Category,Cause,Focus,Total_Assets,Total_Liabilities,Total_Net_Assets,Wkg_Capital,Total_Contributions,ProgSvcRev,Other_Revenue,Total_Revenue,Fundraising_Expenses,Administration_Expenses,Program_Expenses,Total_Expenses,
930995453,8777,3,2015,Fanconi Anemia Research Fund,Health,"Diseases, Disorders, and Disciplines",Birth Defects and Genetic Diseases,6111920,973275,5138645,5138645,3378398,0,30315,3408713,192073,220327,1937315,2349715,FALSE
510292919,5391,3,2015,Farm Sanctuary,Animals,"Animal Rights, Welfare, and Services",Fundraising and Advocacy,25176751,1633598,23543153,23543153,10546859,336627,270085,11153571,1471112,970981,7488131,9930224,FALSE
522151919,11868,3,2016,Farmers and Hunters Feeding the Hungry,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",298274,1195,297079,297079,1144251,0,2008,1146259,53693,65537,1128459,1247689,FALSE
581354139,14079,2,2016,"Fayetteville Urban Ministry, Inc.",Human Services,Social Services,Other,735074,382945,352129,329179,1005730,0,95277,1101007,8477,114688,991933,1115098,FALSE
521465583,9928,4,2016,Federal Employee Education & Assistance Fund,Human Services,Social Services,Utility Assistance,4148600,102639,4045961,4045961,699073,151210,234198,1084481,82491,198135,1424658,1705284,FALSE
431264877,13877,4,2015,Feed My People,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",2681085,32257,2648828,2648828,5173520,186443,-7933,5352030,93386,377077,4998487,5468950,FALSE
411601449,9307,4,2016,Feed My Starving Children,International,Development and Relief Services,Humanitarian Services,14987861,6165085,8822776,8822776,34342732,0,995201,35337933,2486740,2402006,30181145,35069891,FALSE
363673599,5271,4,2016,Feeding America,Human Services,Multipurpose Human Service Organizations,"National Disaster Relief, Development & Volunteerism",111828311,16061646,95766665,93933515,2375635807,24070602,37912127,2437618536,25975026,7172292,2390690235,2423837553,FALSE
382439659,4457,4,2015,Feeding America West Michigan Food Bank,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",9649904,663417,8986487,8513512,44473109,2782007,24091,47279207,392452,394129,45777762,46564343,FALSE
592097520,3592,4,2016,Feeding South Florida,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",8034804,2912712,5122092,4241106,66874763,669356,429877,67973996,781432,699935,66455407,67936774,FALSE
630821997,7263,3,2016,Feeding the Gulf Coast,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",7502148,1131398,6370750,6370750,33785082,2100228,101494,35986804,423665,809388,34148312,35381365,FALSE
440610626,3693,4,2016,Fellowship of Christian Athletes,Religion,Religious Activities,Campus Groups,64475819,3353859,61121960,60871960,94081339,15501436,891152,110473927,6654507,11077057,87094540,104826104,FALSE
582489181,11585,4,2015,Ferst Foundation for Childhood Literacy,Education,Early Childhood Programs and Services,Literacy Programs,1019209,16515,1002694,1002694,957667,0,84436,1042103,23114,51043,949333,1023490,FALSE
341310435,11127,4,2015,Fieldstone Farm Therapeutic Riding Center,Health,Patient and Family Support,Patient & Family Support,2861131,214952,2646179,2646179,1453469,351187,83299,1887955,181891,187728,1513883,1883502,FALSE
202622550,13819,4,2016,Fight Colorectal Cancer,Health,Patient and Family Support,Patient & Family Support,901962,59888,842074,842074,1779855,0,22531,1802386,76164,25516,1439832,1541512,FALSE
133945168,17502,3,2016,Figure Skating in Harlem,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",1227640,84516,1143124,1143124,1726807,96032,-81820,1741019,152299,243795,1366455,1762549,FALSE
203588745,15671,4,2015,Firehouse Subs Public Safety Foundation,Human Services,Multipurpose Human Service Organizations,Cop/Firefighter Relief,6074599,346616,5727983,5727983,7715620,0,112899,7828519,357824,144279,4725025,5227128,FALSE
222990908,9402,4,2016,FIRST,Education,Youth Education Programs and Services,STEM,45774232,3095896,42678336,42678336,45611353,23713724,-509482,68815595,2008001,6638645,54178459,62825105,FALSE
521779606,3699,4,2015,First Book,Education,Youth Education Programs and Services,Literacy Programs,42529478,2789919,39739559,39739559,130262047,5830099,8920,136101066,934738,2101983,126023866,129060587,FALSE
521591162,10343,3,2015,First Candle,Health,"Diseases, Disorders, and Disciplines",Other Diseases,388070,44353,343717,343717,739679,19205,69503,828387,37321,96748,731184,865253,FALSE
592248369,15149,2,2015,First Care Women's Clinic,Health,Treatment and Prevention Services,"Reproductive Health Services, Anti-Abortion",319808,44083,275725,275725,895906,1862,413029,1310797,278135,86951,884206,1249292,FALSE
810539964,17337,2,2015,First Descents,Health,Patient and Family Support,Camp Programs,2056211,594046,1462165,1462165,3181618,0,-85229,3096389,317464,497921,2087742,2903127,FALSE
943381171,12909,3,2016,First Graduate,Education,Youth Education Programs and Services,After-school Educational Programs & Services for Elementary and Secondary Students,1015128,149565,865563,865563,1956264,0,-24487,1931777,308478,223246,1578123,2109847,FALSE
541254491,7156,4,2016,First Nations Development Institute,Human Services,Social Services,Native American Social Services and Development,12676346,1724696,10951650,7823950,6932244,254631,207990,7394865,638151,508178,5129144,6275473,FALSE
113158401,7585,4,2016,Fisher House Foundation,Human Services,Social Services,"Veterans, Military, and Families",90263316,9873263,80390053,79640053,51184361,0,-18160,51166201,2422885,2683496,66001513,71107894,FALSE
770547201,8855,4,2016,Fistula Foundation,International,Development and Relief Services,Humanitarian Services,9180775,4708615,4472160,4472160,9695192,0,274167,9969359,923497,823111,8400510,10147118,FALSE
133993633,11355,4,2016,Fiver Children's Foundation,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",2961509,516940,2444569,2444569,1669577,0,-445,1669132,149863,96750,1430144,1676757,FALSE
830452460,16923,2,2015,FixNation,Animals,"Animal Rights, Welfare, and Services",Animal Rights and Welfare,451375,51624,399751,399751,1141286,298936,63038,1503260,69616,112196,1168424,1350236,FALSE
840429686,11081,4,2016,Florence Crittenton Services of Colorado,Human Services,Children's and Family Services,Family Care & Development,8228342,2013270,6215072,6052680,2247324,2682861,13459,4943644,384011,283079,3909643,4576733,FALSE
237303117,3703,3,2016,Florida Sheriffs Youth Ranches,Human Services,"Youth Development, Shelter, and Crisis Services","Homes, Shelters, & Crisis Services",62202021,8389507,53812514,30908232,10290455,4497280,2061658,16849393,2086503,2022091,11886997,15995591,FALSE
591398265,8129,2,2016,Florida Wildlife Federation,Animals,Wildlife Conservation,Protection & Conservation Programs,1452407,288798,1163609,1163609,1353713,232212,-309590,1276335,329724,130842,1134438,1595004,FALSE
911183859,10886,2,2015,Flying House Productions,"Arts, Culture, Humanities",Performing Arts,Symphonies & Orchestras,2033452,542994,1490458,1160107,974014,1110700,149663,2234377,272382,240037,1535611,2048030,FALSE
753240683,13245,3,2015,Folds of Honor,Education,Scholarship and Financial Support,Scholarships & Financial Aid,10917955,5555879,5362076,5362076,17938113,0,-238639,17699474,757309,679619,13167545,14604473,FALSE
522022113,11029,3,2015,Fonkoze USA,International,Development and Relief Services,Economic and Agricultural Development,4762594,3953964,808630,628993,2654656,0,143119,2797775,205871,331007,3147839,3684717,FALSE
476026109,15022,3,2015,Fontenelle Forest,Environment,Environmental Protection and Conservation,Conservancies,15450302,733221,14717081,14717081,1810559,288652,48255,2147466,161538,446293,1831184,2439015,FALSE
521648941,7124,3,2015,Food & Friends,Human Services,Social Services,Food Services,12355327,1555008,10800319,9999674,8907053,0,174981,9082034,1319580,325738,7116876,8762194,FALSE
320160439,12538,3,2015,Food and Water Watch,Research and Public Policy,Social and Public Policy Research,Social & Public Policy Research,9409199,1323052,8086147,8086147,17665510,1298,66868,17733676,1878504,1454472,12419368,15752344,FALSE
770210727,15939,4,2015,Food Bank Coalition of San Luis Obispo County,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",3585864,793844,2792020,2792020,11730857,237817,875700,12844374,309547,278618,10878522,11466687,FALSE
742336171,7298,4,2016,Food Bank for Larimer County,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",8394882,278753,8116129,8031563,19111489,229382,162652,19503523,440777,303827,18371038,19115642,FALSE
470637701,5367,4,2016,Food Bank for the Heartland,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",12623134,898809,11724325,11724325,23229014,907658,258498,24395170,477710,541115,24143289,25162114,FALSE
920073175,13419,4,2016,Food Bank of Alaska,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",5313957,443385,4870572,4870572,14676843,813118,97669,15587630,282950,496137,14214036,14993123,FALSE
561283426,3708,4,2015,Food Bank of Central & Eastern North Carolina,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",12567767,850749,11717018,11717018,110669449,519363,22247,111211059,2415893,748017,105018087,108181997,FALSE
942418054,5803,4,2015,Food Bank of Contra Costa and Solano,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",11025457,1456305,9569152,9493552,60585042,1030397,343744,61959183,2178075,500048,60643262,63321385,FALSE
721328890,9658,4,2016,Food Bank of Northwest Louisiana,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",7047684,138819,6908865,6908865,15121057,302170,107957,15531184,261540,482011,14216318,14959869,FALSE
421381516,13784,4,2016,Food Bank of Siouxland,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",1217144,26632,1190512,1190512,4019540,229999,4946,4254485,30723,31670,4239905,4302298,FALSE
222623089,11446,3,2015,Food Bank of South Jersey,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",8832846,3437325,5395521,5395521,12349901,815491,97546,13262938,1203392,475553,13253907,14932852,FALSE
742421560,3709,4,2016,"Food Bank of the Rio Grande Valley, Inc.",Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",12728989,1223339,11505650,11505650,70482074,1019792,231448,71733314,468667,582767,69625897,70677331,FALSE
840772672,3710,4,2016,Food Bank of the Rockies,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",24793193,2313357,22479836,22479836,90739744,6530581,-80548,97189777,1849515,903459,92255738,95008712,FALSE
330412749,12846,3,2015,Food Finders,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",355604,37056,318548,318548,14186537,0,150,14186687,143679,114248,13887268,14145195,FALSE
311020198,15723,4,2015,"Food Finders Food Bank, Inc.",Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",5323716,693488,4630228,4467067,12967705,669953,117433,13755091,404684,417805,12037770,12860259,FALSE
132838167,8140,3,2016,Food First/Institute for Food & Development Policy,International,"International Peace, Security, and Affairs",Policy Research and Advocacy,956026,21283,934743,934743,581726,103358,4069,689153,66156,34114,475259,575529,FALSE
930888347,6419,4,2016,Food for Lane County,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",6898699,411599,6487100,6439083,14622026,164172,313141,15099339,563643,381156,13773739,14718538,FALSE
952680390,3713,3,2016,Food for the Hungry,International,Development and Relief Services,Humanitarian Services,8926696,1530240,7396456,6896456,114570951,79634,38255,114688840,15441533,4967589,93082846,113491968,FALSE
592174510,3714,3,2016,Food For The Poor,International,Humanitarian Relief Supplies,"Food, Agriculture and Miscellaneous",43632662,5719002,37913660,37913660,993729983,0,374249,994104232,34581361,8092735,936845314,979519410,FALSE
680181095,10703,4,2015,Food For Thought,Human Services,Social Services,Food Services,5021389,123088,4898301,3347351,1735916,0,84656,1820572,314324,105434,1721148,2140906,FALSE
382853858,8577,4,2016,Food Gatherers,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",7814206,136272,7677934,7677934,12828500,0,251910,13080410,328042,438466,12438360,13204868,FALSE
541940516,12653,4,2016,Foods Resource Bank,International,Development and Relief Services,Economic and Agricultural Development,3687348,365055,3322293,3322293,3160994,0,9616,3170610,101796,147358,3441590,3690744,FALSE
222474771,5057,3,2016,Foodshare,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",12276868,816476,11460392,11460392,29303271,700496,63766,30067533,981259,707918,28372461,30061638,FALSE
526064548,8407,3,2016,For Love of Children,Human Services,Children's and Family Services,Family Care & Development,1593769,129756,1464013,1164013,1676048,54203,20390,1750641,335016,69820,1379795,1784631,FALSE
526073157,9566,3,2016,Ford's Theatre Society,"Arts, Culture, Humanities",Performing Arts,Theater Groups,50083585,2216512,47867073,42516909,5876086,4636548,1900021,12412655,757033,2035476,9709450,12501959,FALSE
431427062,3717,4,2015,Forest Park Forever,Environment,"Botanical Gardens, Parks, and Nature Centers",Urban Parks,144975168,1315812,143659356,57259218,55897131,202169,2002454,58101754,1347920,705321,5062568,7115809,FALSE
870509354,13638,4,2015,Forever Young Foundation,Human Services,Children's and Family Services,Child Care and Development,3585457,147821,3437636,3437636,3012139,0,943440,3955579,52197,115579,3761796,3929572,FALSE
382926476,10679,3,2016,Forgotten Harvest,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",12088021,899107,11188914,11088914,78600481,0,-51290,78549191,2368108,1016320,74648477,78032905,FALSE
541477799,12972,4,2016,"ForKids, inc.",Human Services,Homeless Services,Homelessness - Direct Services,7997009,260681,7736328,7736328,8883008,153493,791314,9827815,704062,269581,5853673,6827316,FALSE
742541265,14653,4,2015,Fort Collins Museum of Discovery,"Arts, Culture, Humanities",Museums,Natural History & Natural Science,9883261,364957,9518304,8804884,521850,669763,74675,1266288,243577,213428,1929692,2386697,FALSE
756004761,6365,4,2015,Fort Worth Symphony Orchestra,"Arts, Culture, Humanities",Performing Arts,Symphonies & Orchestras,29993185,1593901,28399284,3807521,7096021,5023302,1006933,13126256,365655,1676104,10014098,12055857,FALSE
911646598,6411,3,2015,Forward Edge International,Religion,Religious Activities,Christian - International,988748,116231,872517,872517,2077333,532282,-54481,2555134,139837,329812,2279873,2749522,FALSE
431570225,11501,4,2015,Foster & Adoptive Care Coalition,Human Services,Children's and Family Services,Adoption Services and Foster Care,2064017,42924,2021093,1596093,3162882,0,-230285,2932597,411684,102049,2525326,3039059,FALSE
237135845,12337,3,2016,Foundation Fighting Blindness,Health,Medical Research,General & Other Research,159642327,15051380,144590947,141400947,68515510,415973,3021387,71952870,7285983,2495620,18640771,28422374,FALSE
136006960,6759,4,2016,Foundation for Economic Education,Research and Public Policy,Social and Public Policy Research,Social & Public Policy Research,7927895,430821,7497074,5949254,3222381,0,340618,3562999,707527,142707,2912035,3762269,FALSE
650943337,7878,2,2015,Foundation for End-of-Life Care,Human Services,Social Services,Hospices/Hospice Support Organizations,453018,30977,422041,422041,84639,0,-10787,73852,5786,24972,1030062,1060820,FALSE
043467254,10234,4,2016,Foundation for Individual Rights in Education,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",7769381,1148745,6620636,6597304,6160810,0,198887,6359697,656877,472815,4528451,5658143,FALSE
363490560,12515,3,2015,Foundation for Lincoln Public Schools,Education,Scholarship and Financial Support,Education & School Foundations,9264637,16058,9248579,6692936,1966261,0,266186,2232447,47309,191539,1406406,1645254,FALSE
136161225,14757,3,2016,Foundation for Physical Therapy,Health,Medical Research,General & Other Research,16659374,1538186,15121188,10027064,2254536,0,463295,2717831,385079,347274,1423789,2156142,FALSE
134047356,11508,3,2015,Foundation of Orthopedics and Complex Spine,Health,Treatment and Prevention Services,General Health Clinics,3239064,243491,2995573,2995573,3396405,0,-230353,3166052,438333,151220,1910670,2500223,FALSE
870569356,9291,4,2015,Fourth Street Clinic,Health,Treatment and Prevention Services,General Health Clinics,9483370,1072624,8410746,8410746,6614879,654797,548153,7817829,242401,487133,6438297,7167831,FALSE
330628775,8460,4,2016,Franciscan Foundation for the Holy Land,Religion,Religious Activities,Christian - International,3938769,27437,3911332,3911332,2265930,0,14440,2280370,89767,230071,1908424,2228262,FALSE
043222167,5979,4,2015,FRAXA Research Foundation,Health,Medical Research,General & Other Research,2159555,294,2159261,2159261,1176131,500,101788,1278419,59326,52797,1270874,1382997,FALSE
382394044,4720,4,2016,Frederik Meijer Gardens & Sculpture Park,Environment,"Botanical Gardens, Parks, and Nature Centers",Botanical Gardens & Arboretums,230777342,4571688,226205654,130387328,8670407,10134037,3049237,21853681,556524,1927238,16226160,18709922,FALSE
133958495,8213,2,2015,Free Arts NYC,Human Services,Children's and Family Services,Child Care and Development,765737,293159,472578,472578,2301144,0,10799,2311943,396969,147324,1823978,2368271,FALSE
412106721,11701,3,2015,Free Press,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",2316187,256714,2059473,2059473,2438063,12264,18058,2468385,448359,127191,1728894,2304444,FALSE
562189635,11051,3,2015,Free the Slaves,International,"International Peace, Security, and Affairs",Human Rights,1691290,192868,1498422,1498422,2731770,0,22278,2754048,311141,394143,2325429,3030713,FALSE
450505050,11072,3,2016,Free to Breathe,Health,"Diseases, Disorders, and Disciplines",Lung,2387629,1241781,1145848,1145848,3543629,7000,14853,3565482,509012,375070,5037159,5921241,FALSE
521455677,16475,3,2016,Free to Choose Network,"Arts, Culture, Humanities",Public Broadcasting and Media,Programming & Distribution,2195688,156179,2039509,2039509,4824625,0,95141,4919766,317752,390219,3981706,4689677,FALSE
311781635,10204,4,2016,Free Wheelchair Mission,International,Development and Relief Services,Humanitarian Services,2091443,277590,1813853,1813853,9938378,244,-256745,9681877,1302988,552252,8083580,9938820,FALSE
951647835,3728,3,2016,Freedom from Hunger,International,Development and Relief Services,Economic and Agricultural Development,5780721,2377300,3403421,3325643,4883014,0,146724,5029738,316297,471717,4793815,5581829,FALSE
521526916,10908,2,2015,FreedomWorks Foundation,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",1791610,1512000,279610,279610,3445748,0,91454,3537202,381288,1248195,2642213,4271696,FALSE
237122205,16790,4,2016,FreeStore FoodBank,Human Services,"Food Banks, Food Pantries, and Food Distribution","Food Banks, Food Pantries, and Food Distribution",19640102,2084815,17555287,17291490,59310408,2206180,444503,61961091,1555215,1466972,56019701,59041888,FALSE
640321520,7875,4,2016,French Camp Academy,Education,Youth Education Programs and Services,Nontraditional Educational Institutions,47162544,5020631,42141913,40067453,9692072,2069139,650739,12411950,773693,711449,5825926,7311068,FALSE
522234595,12096,4,2016,Fresh Lifelines for Youth,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",4558692,354168,4204524,4204524,4413002,292000,43146,4748148,566851,405243,3542696,4514790,FALSE
860762610,10895,3,2015,Fresh Start Women's Foundation,Human Services,Children's and Family Services,Family Care & Development,6623589,1782976,4840613,4590613,2823733,31514,203332,3058579,321084,120571,2009736,2451391,FALSE
522122720,12621,4,2015,Friedreich's Ataxia Research Alliance,Health,"Diseases, Disorders, and Disciplines","Nerve, Muscle, Bone",4057130,289961,3767169,3767169,5701123,0,17022,5718145,98208,88269,5435319,5621796,FALSE
621564782,8369,3,2015,Friends of Great Smoky Mountains National Park,Environment,"Botanical Gardens, Parks, and Nature Centers",National and State Parks,11273947,223381,11050566,6178943,2216561,0,505258,2721819,434131,303456,1044667,1782254,FALSE
820400218,13959,4,2016,Friends of Idaho Public Television,"Arts, Culture, Humanities",Public Broadcasting and Media,Television & Radio Stations,8270788,33917,8236871,4840177,5519006,0,106723,5625729,66016,35145,5156558,5257719,FALSE
133576756,8168,3,2016,Friends of Island Academy,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",284472,467206,-182734,-182734,1824149,52575,-40112,1836612,103282,300976,1468868,1873126,FALSE
237203753,15241,4,2016,Friends of KSPS,"Arts, Culture, Humanities",Public Broadcasting and Media,Television & Radio Stations,4580177,371748,4208429,4208429,4966530,774897,58698,5800125,654920,568192,4449109,5672221,FALSE
912047030,14718,4,2016,Friends of the Children - Seattle,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",2878679,87160,2791519,2791519,1653610,0,-74099,1579511,353736,86025,1221823,1661584,FALSE
061597902,12003,4,2015,Friends of the Children NY,Human Services,Children's and Family Services,Child Care and Development,941488,22801,918687,918687,2226882,0,-33632,2193250,214531,175351,1671399,2061281,FALSE
931098105,6619,4,2015,"Friends of the Children, Portland",Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",6990458,945798,6044660,6003836,6875655,0,-3238,6872417,555958,296871,4149540,5002369,FALSE
237420660,3733,4,2016,Friends of the Earth,Environment,Environmental Protection and Conservation,Multipurpose Environmental Programs,13914852,2823669,11091183,10880911,8814488,0,1671930,10486418,805148,666799,8553156,10025103,FALSE
363579536,17455,3,2015,Friends of the Hennepin County Library,"Arts, Culture, Humanities","Libraries, Historical Societies and Landmark Preservation",Public Libraries,2386475,174703,2211772,1661923,1652582,181475,-1944,1832113,391492,162967,1222439,1776898,FALSE
133996346,11538,3,2015,Friends of UNFPA,International,"International Peace, Security, and Affairs",United Nations Related Programs,1496888,262998,1233890,1233890,1890675,0,2218,1892893,225863,195599,2502737,2924199,FALSE
113533002,16031,4,2015,Friends of United Hatzalah of Israel,Health,Patient and Family Support,Patient & Family Support,9404412,63002,9341410,9341410,12583037,0,8028,12591065,678632,312396,7336732,8327760,FALSE
133101527,10977,3,2015,Friends of Women's World Banking (FWWB),International,Development and Relief Services,Economic and Agricultural Development,1928554,44205,1884349,1884349,1644247,0,897,1645144,440991,15613,1634363,2090967,FALSE
223090463,3736,4,2015,Friends of Yemin Orde,Human Services,"Youth Development, Shelter, and Crisis Services","Homes, Shelters, & Crisis Services",20377301,14477,20362824,15020944,7577252,0,1125182,8702434,607366,372258,7504482,8484106,FALSE
133880402,12444,4,2015,Friends Without A Border,International,Development and Relief Services,Humanitarian Services,2738616,121052,2617564,2617564,2368797,41619,376405,2786821,137654,267947,1564050,1969651,FALSE
841141078,8068,4,2015,Friendship Bridge,International,Development and Relief Services,Economic and Agricultural Development,10427932,5864271,4563661,4462661,891498,3432462,100955,4424915,356921,196694,3524854,4078469,FALSE
048295500,13872,3,2016,"Friendship Home, Massachusetts",Human Services,Social Services,Services for the Disabled,4139736,154486,3985250,3984750,812836,1353299,8893,2175028,230170,425140,1462108,2117418,FALSE
841418525,10304,4,2016,Front Range Equine Rescue,Animals,"Animal Rights, Welfare, and Services",Animal Rights and Welfare,3225334,140520,3084814,3084814,1609171,1800,-163379,1447592,117743,75768,1122153,1315664,FALSE
042125003,15562,3,2015,Fruitlands Museum,"Arts, Culture, Humanities",Museums,Art,16045367,191126,15854241,15854241,1046077,70036,333190,1449303,145797,518909,947509,1612215,FALSE
521762747,9927,4,2016,FSH Society,Health,"Diseases, Disorders, and Disciplines","Nerve, Muscle, Bone",3349003,706036,2642967,1714888,2150152,0,-79501,2070651,158759,186154,2047041,2391954,FALSE
205771149,16638,3,2016,Fugees Family,Education,Youth Education Programs and Services,Nontraditional Educational Institutions,2996256,307585,2688671,2338671,908291,0,2131,910422,36284,241022,678816,956122,FALSE
591039978,13859,4,2016,Fun Time Early Childhood Academy,Education,Early Childhood Programs and Services,Early Education & Preschool,4582935,84511,4498424,4498424,1108926,485854,1183,1595963,70107,100583,1262870,1433560,FALSE
010766844,16848,4,2015,Furkids,Animals,"Animal Rights, Welfare, and Services",No-Kill Shelters,927346,232974,694372,694372,1023369,274620,276792,1574781,76620,58400,1593653,1728673,FALSE
311600869,12580,4,2015,Furniture Bank of Central Ohio,Human Services,Social Services,Other,2341496,460626,1880870,1880870,3761362,767349,26798,4555509,307734,147361,3772024,4227119,FALSE
134063658,15187,3,2016,Futures and Options,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",873312,189653,683659,683659,1557634,0,168800,1726434,84990,231957,1359333,1676280,FALSE
943110973,6436,4,2015,Futures Without Violence,Human and Civil Rights,Advocacy and Education,"Advocates for Tolerance, Civil Rights, & Civil Liberties",40255291,1983245,38272046,24731719,12192526,809719,895376,13897621,590790,394364,11640722,12625876,FALSE
741487824,9675,4,2016,Galveston Historical Foundation,"Arts, Culture, Humanities","Libraries, Historical Societies and Landmark Preservation",Landmark Preservation,15318353,1425027,13893326,13893326,2283474,2248755,1541963,6074192,12048,970600,4748681,5731329,FALSE
320237828,16422,3,2015,Gateway to College National Network,Education,Adult Education Programs and Services,Continuing & Adult Education,1833771,290397,1543374,1543374,1911190,191061,8645,2110896,278402,491461,2500075,3269938,FALSE
043494246,12684,2,2016,Gateways: Access to Jewish Education,Education,Special Education,Special Education,1681600,191685,1489915,1489915,2312088,431553,-118038,2625603,273358,741260,1538744,2553362,FALSE
133384027,6743,2,2015,Gay & Lesbian Alliance Against Defamation (GLAAD),Human and Civil Rights,Advocacy and Education,"Advocates for Gay, Lesbian, and Transgender Rights",4869113,320603,4548510,4548510,4773625,0,287656,5061281,1014414,603206,3541339,5158959,FALSE
202063267,14711,3,2015,Generation Rescue,Health,Patient and Family Support,Patient & Family Support,152063,11915,140148,140148,1034636,269045,23,1303704,34184,114444,1108886,1257514,FALSE
943255845,10181,2,2016,George Mark Children's House,Health,Patient and Family Support,Patient & Family Support,13436165,8770180,4665985,4655985,2673144,551644,225305,3450093,643066,530653,3196663,4370382,FALSE
237361588,11458,2,2016,George Street Playhouse,"Arts, Culture, Humanities",Performing Arts,Theater Groups,1297178,714989,582189,245255,1951038,1927477,241582,4120097,275654,344413,3388035,4008102,FALSE
581928520,14489,3,2015,Georgia Center for Opportunity,Research and Public Policy,Social and Public Policy Research,Social & Public Policy Research,247574,147366,100208,100208,1299196,0,40829,1340025,99102,165604,1258338,1523044,FALSE
580593403,11028,4,2016,Georgia Historical Society,"Arts, Culture, Humanities","Libraries, Historical Societies and Landmark Preservation",Historical Societies,15880216,976055,14904161,14129161,2712245,381691,481194,3575130,217314,338580,1851076,2406970,FALSE
232728931,6832,3,2016,Gesu School,Education,Youth Education Programs and Services,Nontraditional Educational Institutions,27395391,435464,26959927,20975304,4782010,628430,534058,5944498,450246,685693,3618738,4754677,FALSE
364115144,12616,3,2015,Gilda's Club Chicago,Health,Patient and Family Support,Patient & Family Support,1822544,93590,1728954,1728954,790163,0,494557,1284720,343923,105769,1403911,1853603,FALSE
134046652,7774,3,2016,Gilda's Club New York City,Health,Patient and Family Support,Patient & Family Support,3595224,2040598,1554626,1554626,2481206,0,2199,2483405,295272,135723,1803137,2234132,FALSE
520780207,6550,3,2016,Girl Scouts of Central Maryland,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",17019663,1065193,15954470,14204985,521542,597651,4486780,5605973,172919,670017,5033223,5876159,FALSE
590760212,10769,4,2016,Girl Scouts of Gulfcoast Florida,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",12938174,466092,12472082,12394544,368938,51551,3155926,3576415,280910,235732,3211321,3727963,FALSE
620589380,8437,3,2016,Girl Scouts of Middle Tennessee,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",10905659,773358,10132301,9990885,905521,696701,2764749,4366971,297972,180745,3669623,4148340,FALSE
410693910,5919,3,2016,Girl Scouts of Minnesota and Wisconsin River Valleys,Human Services,"Youth Development, Shelter, and Crisis Services","Clubs, Centers, & Development Programs",43604326,4426593,39177733,35352698,2656562,1131775,13221210,17009547,1354153,1851702,11763228,14969083,FALSE
